City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
132,Sao Filipe,14.8961,-24.4956,72.63,70,59,7.16,CV,2021-01-21 22:14:51,broken clouds
133,Pasni,25.2631,63.471,69.55,82,55,8.19,PK,2021-01-21 22:14:51,broken clouds
134,Isangel,-19.55,169.2667,78.8,94,90,10.76,VU,2021-01-21 22:14:51,moderate rain
135,Atbasar,51.8,68.3333,-16.11,88,17,6.78,KZ,2021-01-21 22:14:51,few clouds
136,Alofi,-19.0595,-169.9187,84.2,79,75,6.91,NU,2021-01-21 22:14:51,light rain
137,Puro,12.4841,123.3827,77.86,84,36,3.91,PH,2021-01-21 22:14:52,light rain
138,Tuktoyaktuk,69.4541,-133.0374,-7.6,84,90,16.11,CA,2021-01-21 22:14:52,overcast clouds
139,Mar Del Plata,-38.0023,-57.5575,78.8,78,0,16.11,AR,2021-01-21 22:10:57,clear sky
140,Lubango,-14.9172,13.4925,60.58,53,100,3.6,AO,2021-01-21 22:14:52,overcast clouds
141,Varhaug,58.6147,5.6457,41.0,93,75,20.71,NO,2021-01-21 22:14:52,broken clouds
142,Longyearbyen,78.2186,15.6401,10.4,61,0,21.85,SJ,2021-01-21 22:14:52,clear sky
143,Havoysund,70.9963,24.6622,23.0,73,0,12.66,NO,2021-01-21 22:14:52,clear sky
144,Mareeba,-17.0,145.4333,78.8,73,100,10.36,AU,2021-01-21 22:14:52,overcast clouds
145,Grindavik,63.8424,-22.4338,28.4,74,75,21.85,IS,2021-01-21 22:14:52,broken clouds
146,Berlevag,70.8578,29.0864,21.2,79,90,10.36,NO,2021-01-21 22:14:53,snow
147,Johi,26.6921,67.6133,61.0,45,0,4.74,PK,2021-01-21 22:14:53,clear sky
148,Chapais,49.7834,-74.8492,6.8,78,90,12.66,CA,2021-01-21 22:14:53,light snow
149,Suntar,62.1444,117.6319,-42.72,79,100,1.3,RU,2021-01-21 22:14:53,overcast clouds
150,Bethel,41.3712,-73.414,34.0,63,37,4.54,US,2021-01-21 22:14:53,scattered clouds
151,Udachnyy,66.4167,112.4,-57.03,52,79,3.13,RU,2021-01-21 22:14:53,broken clouds
152,Ostrovnoy,68.0531,39.5131,3.29,92,100,8.79,RU,2021-01-21 22:14:53,overcast clouds
153,Barmer,25.75,71.3833,60.19,33,0,7.0,IN,2021-01-21 22:14:53,clear sky
154,Asosa,10.0667,34.5333,64.99,47,6,4.38,ET,2021-01-21 22:14:53,clear sky
155,Esperance,-33.8667,121.9,64.4,82,90,12.66,AU,2021-01-21 22:14:53,overcast clouds
156,Port Blair,11.6667,92.75,74.37,69,6,6.89,IN,2021-01-21 22:14:54,clear sky
157,Constitucion,-35.3333,-72.4167,65.7,69,20,8.41,CL,2021-01-21 22:14:54,few clouds
158,Portsmouth,50.799,-1.0913,43.0,89,99,12.77,GB,2021-01-21 22:14:54,overcast clouds
159,Narsaq,60.9167,-46.05,23.0,58,20,4.61,GL,2021-01-21 22:14:54,few clouds
160,Victoria,22.2855,114.1577,66.99,82,56,3.44,HK,2021-01-21 22:10:16,broken clouds
161,Esil,51.9556,66.4042,-13.76,89,46,5.82,KZ,2021-01-21 22:14:54,scattered clouds
162,Port Alfred,-33.5906,26.891,66.99,94,9,1.99,ZA,2021-01-21 22:14:54,clear sky
163,Los Llanos De Aridane,28.6585,-17.9182,68.0,83,75,5.75,ES,2021-01-21 22:14:54,broken clouds
164,Tarata,-17.6167,-66.0167,66.2,55,75,4.61,BO,2021-01-21 22:14:54,broken clouds
165,Port Lincoln,-34.7333,135.8667,68.4,57,0,3.33,AU,2021-01-21 22:14:55,light rain
166,Hokitika,-42.7167,170.9667,58.19,83,99,8.68,NZ,2021-01-21 22:14:55,overcast clouds
167,Muros,42.7762,-9.0603,53.01,92,96,1.99,ES,2021-01-21 22:14:55,moderate rain
168,Lebu,-37.6167,-73.65,62.92,78,0,20.74,CL,2021-01-21 22:14:55,clear sky
169,Bitung,1.4451,125.1824,75.2,100,20,1.14,ID,2021-01-21 22:14:55,few clouds
170,Arvika,59.6553,12.5852,37.4,93,75,21.85,SE,2021-01-21 22:14:55,light rain
171,Saint George,37.1041,-113.5841,63.0,38,20,3.44,US,2021-01-21 22:09:59,few clouds
172,Heide,54.2,9.1,43.0,82,93,5.99,DE,2021-01-21 22:14:55,overcast clouds
173,Ixtapa,20.7,-105.2,80.6,61,20,6.91,MX,2021-01-21 22:14:55,few clouds
174,Upernavik,72.7868,-56.1549,25.68,98,83,10.22,GL,2021-01-21 22:14:56,broken clouds
175,Iqaluit,63.7506,-68.5145,32.0,74,75,28.77,CA,2021-01-21 22:14:56,snow
176,Fairview,40.8126,-73.999,42.8,45,1,5.68,US,2021-01-21 22:11:19,clear sky
177,Saint-Augustin,51.226,-58.6502,12.11,90,90,2.91,CA,2021-01-21 22:14:56,overcast clouds
178,Havre-Saint-Pierre,50.2334,-63.5986,1.4,71,1,3.44,CA,2021-01-21 22:14:56,clear sky
179,Castro,-24.7911,-50.0119,65.53,95,100,4.16,BR,2021-01-21 22:14:56,overcast clouds
180,Upington,-28.4478,21.2561,80.6,61,76,21.85,ZA,2021-01-21 22:14:09,broken clouds
181,Marion,39.7684,-86.1555,46.4,36,1,12.66,US,2021-01-21 22:14:56,clear sky
182,Chuy,-33.6971,-53.4616,72.82,73,0,11.86,UY,2021-01-21 22:14:56,clear sky
183,Karpathos,35.507,27.2132,55.4,67,12,1.14,GR,2021-01-21 22:14:56,few clouds
184,Tabuk,17.4189,121.4443,71.24,90,68,2.89,PH,2021-01-21 22:14:56,broken clouds
185,Tiksi,71.6872,128.8694,-31.02,83,100,18.43,RU,2021-01-21 22:14:57,overcast clouds
186,Tsiroanomandidy,-18.7667,46.0333,69.78,86,100,4.79,MG,2021-01-21 22:14:57,overcast clouds
187,Clyde River,70.4692,-68.5914,-0.4,92,40,2.3,CA,2021-01-21 22:14:57,scattered clouds
188,Manyoni,-5.7467,34.8382,63.5,92,100,2.21,TZ,2021-01-21 22:14:57,overcast clouds
189,Santa Rita,-7.1139,-34.9781,80.6,78,20,10.36,BR,2021-01-21 22:14:57,few clouds
190,Port Shepstone,-30.7414,30.455,74.35,84,99,15.7,ZA,2021-01-21 22:14:57,overcast clouds
191,Imbituba,-28.24,-48.6703,71.6,94,75,5.75,BR,2021-01-21 22:14:57,light rain
192,Daigo,36.7667,140.35,37.0,52,21,1.54,JP,2021-01-21 22:12:50,few clouds
193,Kalmunai,7.4167,81.8167,77.05,84,100,3.27,LK,2021-01-21 22:14:57,light rain
194,Lavrentiya,65.5833,-171.0,23.38,98,100,4.94,RU,2021-01-21 22:12:12,snow
195,Vila Velha,-20.3297,-40.2925,81.0,78,20,6.91,BR,2021-01-21 22:14:58,few clouds
196,Arraial Do Cabo,-22.9661,-42.0278,80.6,88,0,14.97,BR,2021-01-21 22:14:58,clear sky
197,Kaka,37.3482,59.6143,29.97,97,100,9.82,TM,2021-01-21 22:14:58,light snow
198,Geraldton,-28.7667,114.6,69.8,88,0,2.3,AU,2021-01-21 22:14:58,clear sky
199,Nova Borova,50.693,28.6345,34.93,87,91,14.29,UA,2021-01-21 22:14:58,overcast clouds
200,Daloa,6.8774,-6.4502,79.09,59,42,5.17,CI,2021-01-21 22:14:58,scattered clouds
201,Titel,45.2061,20.2944,48.2,65,0,9.22,RS,2021-01-21 22:14:58,clear sky
202,Perry,37.2506,-83.1999,43.0,65,40,5.75,US,2021-01-21 22:14:58,scattered clouds
203,Nioki,-2.7167,17.6833,74.48,83,42,2.57,CD,2021-01-21 22:14:58,scattered clouds
204,Provideniya,64.3833,-173.3,24.8,93,90,8.95,RU,2021-01-21 22:14:59,light snow
205,Puerto Ayora,-0.7393,-90.3518,82.4,69,75,6.91,EC,2021-01-21 22:14:59,broken clouds
206,Mahebourg,-20.4081,57.7,77.0,83,40,5.75,MU,2021-01-21 22:14:59,scattered clouds
207,Coquimbo,-29.9533,-71.3436,66.2,63,0,11.5,CL,2021-01-21 22:14:50,clear sky
208,Den Helder,52.9599,4.7593,42.01,87,75,13.8,NL,2021-01-21 22:14:59,light rain
209,Porbandar,21.6422,69.6093,65.32,79,0,10.94,IN,2021-01-21 22:14:59,clear sky
210,Umm Kaddadah,13.6017,26.6876,60.76,31,8,20.2,SD,2021-01-21 22:14:59,clear sky
211,Handan,36.6006,114.4678,31.71,84,92,5.26,CN,2021-01-21 22:14:59,overcast clouds
212,Solwezi,-12.1688,26.3894,61.5,97,100,3.58,ZM,2021-01-21 22:14:59,overcast clouds
213,Guaruja,-23.9931,-46.2564,81.0,83,90,5.75,BR,2021-01-21 22:14:59,moderate rain
214,Ismailia,30.6043,32.2723,51.64,61,0,7.25,EG,2021-01-21 22:15:00,clear sky
215,Amga,60.8953,131.9608,-52.33,75,78,1.97,RU,2021-01-21 22:12:12,broken clouds
216,Natal,-5.795,-35.2094,80.6,74,20,13.8,BR,2021-01-21 22:15:00,few clouds
217,Raudeberg,61.9875,5.1352,42.01,72,100,6.49,NO,2021-01-21 22:15:00,overcast clouds
218,Shimoda,34.6667,138.95,39.0,86,0,18.81,JP,2021-01-21 22:15:00,clear sky
219,Sur,22.5667,59.5289,69.03,50,10,4.38,OM,2021-01-21 22:15:00,clear sky
220,Valparaiso,-33.0393,-71.6273,64.99,77,40,5.75,CL,2021-01-21 22:11:59,scattered clouds
221,Baruun-Urt,46.6806,113.2792,-1.3,90,11,10.22,MN,2021-01-21 22:15:00,few clouds
222,Barrow,71.2906,-156.7887,-4.0,77,90,23.02,US,2021-01-21 22:15:00,snow
223,Lerwick,60.1545,-1.1494,41.0,87,75,23.02,GB,2021-01-21 22:15:00,light rain
224,Mirnyy,62.5353,113.9611,-46.62,78,100,1.41,RU,2021-01-21 22:15:01,overcast clouds
225,Vardo,70.3705,31.1107,21.2,93,75,19.86,NO,2021-01-21 22:15:01,snow
226,Guadalajara,20.6667,-103.3333,80.01,33,75,3.44,MX,2021-01-21 22:12:44,broken clouds
227,Monte Carmelo,-18.7247,-47.4986,70.66,81,58,6.71,BR,2021-01-21 22:15:01,light rain
228,Micheweni,-4.9667,39.8333,81.41,81,100,16.64,TZ,2021-01-21 22:15:01,overcast clouds
229,Japura,-0.3167,102.35,72.18,97,91,0.51,ID,2021-01-21 22:15:01,overcast clouds
230,Makakilo City,21.3469,-158.0858,82.4,51,90,8.05,US,2021-01-21 22:15:01,overcast clouds
231,Lata,40.1629,-8.3327,60.01,99,100,11.99,PT,2021-01-21 22:15:01,overcast clouds
232,Zaria,11.1113,7.7227,67.06,24,49,11.77,NG,2021-01-21 22:15:02,scattered clouds
233,Banjar,-8.19,114.9675,77.59,72,98,4.59,ID,2021-01-21 22:15:02,overcast clouds
234,Opuwo,-18.0607,13.84,67.1,73,100,6.38,NA,2021-01-21 22:15:02,overcast clouds
235,Svetlyy,54.675,20.1347,41.0,75,0,11.18,RU,2021-01-21 22:15:02,clear sky
236,Kailua,21.4022,-157.7394,82.4,69,90,11.5,US,2021-01-21 22:10:25,overcast clouds
237,Katsuura,35.1333,140.3,41.0,56,75,4.61,JP,2021-01-21 22:15:02,broken clouds
238,Samarai,-10.6167,150.6667,82.81,75,100,7.34,PG,2021-01-21 22:15:02,light rain
239,Peoria,40.7667,-89.7668,44.6,39,1,14.97,US,2021-01-21 22:10:46,clear sky
240,Cayenne,4.9333,-52.3333,77.0,88,75,4.61,GF,2021-01-21 22:15:03,broken clouds
241,Gat,31.61,34.7642,48.0,69,0,1.01,IL,2021-01-21 22:11:04,clear sky
242,Palmer,42.1584,-72.3287,34.0,63,71,4.38,US,2021-01-21 22:12:21,broken clouds
243,Olafsvik,64.8945,-23.7142,28.58,90,6,26.24,IS,2021-01-21 22:15:03,clear sky
244,Soledade,-28.8183,-52.5103,65.82,96,90,6.22,BR,2021-01-21 22:15:03,overcast clouds
245,Broome,42.2506,-75.833,35.01,64,90,4.61,US,2021-01-21 22:15:03,overcast clouds
246,Roebourne,-20.7833,117.1333,82.85,66,80,5.12,AU,2021-01-21 22:15:04,broken clouds
247,Mecca,21.4267,39.8261,73.67,29,0,12.44,SA,2021-01-21 22:14:08,clear sky
248,Chokurdakh,70.6333,147.9167,-40.22,81,37,6.8,RU,2021-01-21 22:15:04,scattered clouds
249,Moron,-34.6534,-58.6198,91.4,25,0,17.27,AR,2021-01-21 22:15:04,clear sky
250,Buedu,8.2803,-10.3719,70.39,35,51,1.25,SL,2021-01-21 22:15:04,broken clouds
251,Labuhan,-6.8844,112.2051,77.7,87,99,7.54,ID,2021-01-21 22:15:05,overcast clouds
252,Rudnogorsk,57.2639,103.7519,-21.21,88,99,2.42,RU,2021-01-21 22:15:05,overcast clouds
253,Donegal,54.65,-8.1167,36.54,82,0,7.92,IE,2021-01-21 22:15:06,clear sky
254,Contamana,-7.3333,-75.0167,87.08,50,53,2.1,PE,2021-01-21 22:15:06,broken clouds
255,Azul,-36.777,-59.8585,87.01,40,0,5.01,AR,2021-01-21 22:15:06,clear sky
256,Fuxin,42.0156,121.6589,11.57,89,0,6.51,CN,2021-01-21 22:15:06,clear sky
257,Kaitangata,-46.2817,169.8464,62.01,59,65,13.0,NZ,2021-01-21 22:15:06,broken clouds
258,Kyra,49.5776,111.9753,-3.06,84,7,2.06,RU,2021-01-21 22:15:06,clear sky
259,Seda,57.65,25.75,35.01,92,100,5.01,LV,2021-01-21 22:15:07,overcast clouds
260,Gigmoto,13.7796,124.39,79.2,83,93,6.13,PH,2021-01-21 22:15:07,overcast clouds
261,Mursalimkino,55.0379,58.5585,-2.72,90,100,6.78,RU,2021-01-21 22:15:07,overcast clouds
262,Novaya Zaimka,56.4857,66.9241,-12.8,90,100,8.05,RU,2021-01-21 22:15:07,overcast clouds
263,Nome,64.5011,-165.4064,30.2,80,90,18.41,US,2021-01-21 22:15:07,overcast clouds
264,Vung Tau,10.346,107.0843,74.57,87,75,3.38,VN,2021-01-21 22:15:07,broken clouds
