City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
593,Mlonggo,ID,76.17,overcast clouds,-6.5333,110.7,Asia Metal Art
598,Mount Isa,AU,84.2,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
599,Forbes,AU,84.0,clear sky,-33.3833,148.0167,Lake Forbes Motel
600,Muli,MV,82.38,broken clouds,2.9167,73.5667,Medhufushi Island Resort
604,Acapulco,MX,84.2,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
606,Marawi,PH,75.0,overcast clouds,7.9986,124.2928,Derogongan Residence
614,Quelimane,MZ,77.0,moderate rain,-17.8786,36.8883,Hotel Flamingo
621,Waingapu,ID,79.74,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
627,Mahibadhoo,MV,82.4,broken clouds,3.7833,72.9667,Omadhoo Inn
632,Namatanai,PG,82.96,overcast clouds,-3.6667,152.4333,Namatanai Hotel
633,Charagua,BO,80.6,few clouds,-19.8,-63.2167,Residencial Luismar
637,Vaitape,PF,81.46,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
641,Howard Springs,AU,86.0,light rain,-12.497,131.047,buffalo beach hostel
645,Cockburn Town,TC,75.2,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
649,Tanete,ID,77.97,scattered clouds,-3.9443,119.7848,Wisma Tri Multi
655,Jutiapa,GT,84.2,clear sky,14.2833,-89.9,Hotel Ordoñez
657,Hobyo,SO,78.48,light rain,5.3505,48.5268,Halane Hotel and Restaurent
669,Padang,ID,76.62,overcast clouds,-0.9492,100.3543,Mercure Padang
681,Antalaha,MG,76.95,light rain,-14.9003,50.2788,Hotel Vitasoa
685,Eyl,SO,75.04,scattered clouds,7.9803,49.8164,Amiin Hotel
686,Lethem,GY,83.32,scattered clouds,3.3803,-59.7968,Savannah Inn
695,Morondava,MG,83.41,overcast clouds,-20.2833,44.2833,La Case Bambou
708,Kloulklubed,PW,82.4,light rain,7.0419,134.2556,Storyboard Beach Resort
709,Tual,ID,83.66,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
713,Taperoa,BR,77.07,overcast clouds,-7.2075,-36.8267,Construir material de construção
716,Boyuibe,BO,80.6,clear sky,-20.4167,-63.2833,Residencial Eluzai
718,Prainha,BR,76.73,light rain,-1.8,-53.48,Casa Rocha
722,Puerto Escondido,MX,84.2,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
723,Bonthe,SL,78.21,clear sky,7.5264,-12.505,Bonthe Holiday Village
724,Baculin,PH,78.15,overcast clouds,7.4525,126.5842,Shovy's Cove
728,Limbang,MY,75.2,broken clouds,4.75,115.0,Purnama Hotel
738,Rawson,AR,80.44,scattered clouds,-43.3002,-65.1023,Hosteria Sampedro
741,Flinders,AU,77.0,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
